ticker,publish_date,period_end,EPSDiluted,StockholdersEquity,AvgDilutedSharesOutstanding,Revenue,CommonStockDividendsPerShare
NVDA,2023-02-24,2023-01-29,1.74,22101000000,2507000000,26974000000,0.16
NVDA,2023-02-24,2023-01-29,0.57,22101000000,2476000000,6051000000,0.04
NVDA,2022-11-18,2022-10-30,0.27,21349000000,2499000000,5931000000,0.04
NVDA,2022-08-31,2022-07-31,0.26,23851000000,2516000000,6704000000,0.04
NVDA,2022-05-27,2022-05-01,0.64,26320000000,2537000000,8288000000,0.04
NVDA,2022-03-18,2022-01-30,3.85,26612000000,2535000000,26914000000,0.16
NVDA,2022-03-18,2022-01-30,1.18,26612000000,2542000000,7643000000,0.04
NVDA,2021-11-22,2021-10-31,0.97,23798000000,2538000000,7103000000,0.04
NVDA,2021-08-20,2021-08-01,0.94,21147000000,2532000000,6507000000,0.04
NVDA,2021-05-26,2021-05-02,0.76,18774000000,2528000000,5661000000,0.04
NVDA,2021-02-26,2021-01-31,1.73,16893000000,2510000000,16675000000,0.16
NVDA,2021-02-26,2021-01-31,0.58,16893000000,4394000000,5003000000,0.04
NVDA,2020-11-18,2020-10-25,0.53,15334000000,2520000000,4726000000,0.04
